Series_Title,Genre,Released_Year,IMDB_Rating,dataset_split
The Shawshank Redemption,Drama,1994,9.3,train
The Godfather,"Crime, Drama",1972,9.2,train
The Dark Knight,"Action, Crime, Drama",2008,9.0,train
The Godfather: Part II,"Crime, Drama",1974,9.0,train
12 Angry Men,"Crime, Drama",1957,9.0,train
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",2003,8.9,train
Pulp Fiction,"Crime, Drama",1994,8.9,train
Schindler's List,"Biography, Drama, History",1993,8.9,train
Inception,"Action, Adventure, Sci-Fi",2010,8.8,train
Fight Club,Drama,1999,8.8,train
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",2001,8.8,test
Forrest Gump,"Drama, Romance",1994,8.8,train
"Il buono, il brutto, il cattivo",Western,1966,8.8,train
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",2002,8.7,train
The Matrix,"Action, Sci-Fi",1999,8.7,train
Goodfellas,"Biography, Crime, Drama",1990,8.7,train
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",1980,8.7,train
One Flew Over the Cuckoo's Nest,Drama,1975,8.7,train
Hamilton,"Biography, Drama, History",2020,8.6,train
Gisaengchung,"Comedy, Drama, Thriller",2019,8.6,train
Soorarai Pottru,Drama,2020,8.6,train
Interstellar,"Adventure, Drama, Sci-Fi",2014,8.6,train
Cidade de Deus,"Crime, Drama",2002,8.6,train
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",2001,8.6,test
Saving Private Ryan,"Drama, War",1998,8.6,train
The Green Mile,"Crime, Drama, Fantasy",1999,8.6,test
La vita è bella,"Comedy, Drama, Romance",1997,8.6,train
Se7en,"Crime, Drama, Mystery",1995,8.6,train
The Silence of the Lambs,"Crime, Drama, Thriller",1991,8.6,train
Star Wars,"Action, Adventure, Fantasy",1977,8.6,train
Seppuku,"Action, Drama, Mystery",1962,8.6,test
Shichinin no samurai,"Action, Adventure, Drama",1954,8.6,train
It's a Wonderful Life,"Drama, Family, Fantasy",1946,8.6,train
Joker,"Crime, Drama, Thriller",2019,8.5,train
Whiplash,"Drama, Music",2014,8.5,train
The Intouchables,"Biography, Comedy, Drama",2011,8.5,train
The Prestige,"Drama, Mystery, Sci-Fi",2006,8.5,train
The Departed,"Crime, Drama, Thriller",2006,8.5,train
The Pianist,"Biography, Drama, Music",2002,8.5,train
Gladiator,"Action, Adventure, Drama",2000,8.5,test
American History X,Drama,1998,8.5,train
The Usual Suspects,"Crime, Mystery, Thriller",1995,8.5,train
Léon,"Action, Crime, Drama",1994,8.5,train
The Lion King,"Animation, Adventure, Drama",1994,8.5,train
Terminator 2: Judgment Day,"Action, Sci-Fi",1991,8.5,test
Nuovo Cinema Paradiso,"Drama, Romance",1988,8.5,train
Hotaru no haka,"Animation, Drama, War",1988,8.5,train
